split;f1_score
1;0.9
2;0.6
3;0.8
4;0.8
5;0.8
6;1.0
7;0.8
8;0.8
9;0.7
10;0.8
11;0.8
12;0.8
13;0.7
14;0.8
15;0.7
16;0.7
17;0.8
18;0.9
19;0.8
20;0.7
21;0.9
22;0.8
23;0.8
24;0.7
25;0.8
26;0.8
27;0.8
28;0.7
29;0.7
30;0.7
31;0.8
32;0.8
33;0.8
34;0.8
35;0.7
36;0.6
37;0.6
38;0.7
39;0.7
40;0.8
41;0.9
42;0.7
43;0.8
44;0.8
45;0.6
46;0.7
47;0.8
48;0.8
49;0.8
50;0.7
51;0.8
52;0.8
53;0.8
54;0.8
55;0.8
56;0.8
57;0.7
58;0.7
59;0.8
60;0.8
61;0.8
62;0.7
63;0.8
64;0.8
65;0.7
66;0.7
67;0.8
68;0.6
69;0.8
70;0.7
71;0.8
72;0.8
73;0.8
74;0.8
75;0.8
76;0.8
77;0.8
78;0.8
79;0.8
80;0.9
81;0.8
82;0.7
83;0.8
84;0.8
85;0.8
86;0.8
87;0.7
88;0.7
89;0.8
90;0.7
91;0.8
92;0.8
93;0.9
94;0.8
95;0.8
96;0.7
97;0.8
98;0.8
99;0.8
100;0.8
101;0.8
102;0.9
103;0.8
104;0.8
105;0.8
106;0.7
107;0.7
108;0.8
109;0.8
110;0.8
111;0.8
112;0.8
113;0.8
114;0.8
115;0.7
116;0.8
117;0.8
118;0.8
119;0.7
120;0.8
121;0.6
122;0.8
123;0.8
124;0.8
125;0.8
126;0.8
127;0.8
128;0.7
129;0.8
130;1.0
131;0.8
132;0.7
133;0.9
134;0.8
135;0.8
136;0.8
137;0.8
138;0.8
139;0.8
140;0.8
141;0.5
142;0.8
143;0.8
144;0.5
145;0.8
146;0.8
147;0.9
148;0.8
149;0.7
150;0.8
151;0.6
152;0.8
153;0.7
154;0.7
155;0.8
156;0.8
157;0.7
158;0.6
159;0.8
160;0.8
161;0.8
162;0.8
163;0.7
164;0.8
165;0.7
166;0.8
167;0.6
168;0.8
169;0.6
170;0.8
171;0.8
172;0.8
173;0.8
174;0.7
175;0.7
176;0.7
177;0.6
178;0.8
179;0.8
180;0.8
181;0.8
182;0.8
183;0.7
184;0.9
185;0.7
186;0.8
187;0.9
188;0.6
189;0.7
190;0.8
191;0.8
192;0.8
193;0.8
194;0.8
195;0.8
196;0.9
197;0.8
198;0.9
199;0.6
200;0.8
201;0.8
202;0.7
203;0.7
204;0.9
205;0.5
206;0.8
207;0.7
208;0.8
209;0.6
210;0.7
211;0.8
212;0.8
213;0.7
214;0.7
215;0.8
216;0.8
217;0.9
218;0.8
219;0.7
220;0.9
221;0.7
222;0.8
223;0.8
224;0.8
225;0.8
226;0.7
227;0.8
228;0.8
229;0.8
230;0.8
231;0.8
232;0.7
233;0.6
234;0.8
235;0.8
236;0.8
237;0.8
238;0.8
239;0.9
240;0.5
241;0.8
242;0.7
243;0.7
244;0.8
245;0.8
246;0.7
247;0.6
248;0.8
249;0.8
250;0.8
251;0.7
252;0.8
253;0.8
254;0.8
255;0.6
256;0.8
257;0.8
258;0.8
259;0.8
260;0.7
261;0.7
262;0.8
263;0.8
264;0.8
265;0.6
266;0.7
267;0.8
268;0.8
269;0.7
270;0.8
271;0.7
272;0.8
273;0.7
274;0.8
275;0.8
276;0.8
277;0.8
278;0.8
279;0.6
280;0.7
281;0.8
282;0.8
283;0.8
284;0.5
285;0.6
286;0.7
287;0.8
288;0.8
289;0.9
290;0.8
291;0.8
292;0.8
293;0.6
294;0.8
295;0.7
296;0.8
297;1.0
298;0.7
299;0.8
300;0.8
301;0.8
302;0.7
303;0.8
304;0.7
305;0.8
306;0.8
307;0.8
308;0.9
309;0.7
310;0.8
311;0.8
312;0.8
313;0.6
314;0.6
315;0.8
316;0.6
317;0.7
318;0.8
319;0.8
320;0.7
321;0.8
322;0.8
323;0.8
324;0.8
325;0.8
326;0.7
327;0.8
328;0.9
329;0.8
330;0.8
331;0.8
332;0.7
333;0.8
334;0.8
335;0.7
336;0.9
337;0.8
338;0.6
339;0.7
340;0.8
341;0.8
342;0.8
343;0.8
344;0.8
345;0.9
346;0.7
347;0.7
348;0.6
349;0.8
350;0.8
351;0.8
352;0.8
353;0.8
354;0.7
355;0.8
356;0.9
357;0.9
358;0.8
359;0.7
360;0.8
361;0.7
362;0.8
363;0.8
364;0.8
365;0.8
366;0.7
367;0.8
368;0.6
369;0.9
370;0.8
371;0.8
372;0.9
373;0.8
374;0.7
375;0.7
376;0.7
377;0.8
378;0.6
379;0.8
380;0.7
381;0.6
382;0.9
383;0.8
384;0.7
385;0.8
386;0.8
387;0.7
388;0.8
389;0.8
390;0.9
391;0.7
392;0.8
393;0.8
394;0.8
395;0.8
396;0.8
397;0.8
398;0.6
399;0.7
400;0.7
401;0.6
402;0.7
403;0.6
404;0.7
405;0.7
406;0.7
407;0.7
408;0.7
409;0.8
410;0.7
411;0.8
412;0.8
413;0.8
414;0.7
415;0.6
416;0.8
417;0.6
418;0.8
419;0.9
420;0.8
421;0.6
422;0.8
423;0.8
424;0.7
425;0.7
426;0.8
427;0.6
428;0.6
429;0.9
430;0.8
431;0.6
432;0.8
433;0.8
434;0.9
435;0.6
436;0.8
437;0.8
438;0.8
439;0.8
440;0.6
441;0.8
442;0.8
443;0.8
444;0.8
445;0.7
446;0.8
447;0.6
448;0.8
449;0.8
450;0.8
451;0.8
452;0.8
453;0.6
454;0.8
455;0.8
456;0.7
457;0.8
458;0.8
459;0.8
460;0.8
461;1.0
462;0.7
463;0.8
464;0.8
465;0.7
466;0.8
467;0.8
468;0.7
469;0.9
470;0.7
471;0.8
472;0.8
473;0.8
474;0.7
475;0.8
476;0.9
477;0.7
478;0.5
479;0.7
480;0.7
481;0.7
482;0.9
483;0.8
484;0.8
485;0.7
486;0.8
487;0.8
488;0.6
489;0.6
490;0.8
491;0.6
492;0.8
493;0.8
494;0.8
495;0.8
496;0.6
497;0.8
498;0.8
499;0.8
500;0.8
