split;f1_score
1;0.8
2;0.6
3;0.6
4;0.7
5;0.9
6;0.9
7;0.8
8;0.8
9;0.6
10;0.8
11;0.7
12;0.7
13;0.7
14;0.8
15;0.9
16;0.8
17;0.7
18;0.9
19;0.8
20;0.8
21;0.8
22;0.8
23;0.8
24;0.6
25;0.8
26;0.7
27;0.7
28;0.8
29;0.8
30;0.7
31;0.8
32;0.8
33;0.8
34;0.8
35;0.8
36;0.7
37;0.8
38;0.7
39;0.9
40;0.8
41;0.9
42;0.7
43;0.9
44;0.8
45;0.8
46;0.8
47;0.8
48;0.8
49;0.8
50;0.8
51;0.6
52;0.8
53;0.9
54;0.7
55;0.8
56;0.7
57;0.8
58;0.8
59;0.8
60;0.8
61;1.0
62;0.7
63;0.7
64;0.7
65;0.8
66;0.9
67;0.8
68;0.9
69;0.8
70;0.8
71;0.8
72;0.8
73;0.8
74;0.7
75;0.8
76;0.8
77;0.7
78;0.8
79;0.7
80;0.8
81;0.6
82;0.8
83;0.9
84;0.9
85;0.8
86;0.8
87;0.8
88;0.7
89;0.6
90;0.8
91;0.6
92;0.8
93;0.9
94;0.8
95;0.8
96;0.8
97;0.6
98;0.6
99;0.8
100;0.9
101;0.8
102;0.8
103;0.8
104;0.8
105;0.8
106;0.9
107;0.8
108;0.8
109;0.8
110;0.9
111;0.8
112;0.7
113;0.8
114;0.7
115;0.8
116;0.7
117;0.7
118;0.8
119;0.8
120;0.7
121;0.8
122;0.8
123;0.7
124;0.6
125;0.7
126;0.6
127;0.7
128;0.9
129;0.8
130;0.8
131;0.9
132;0.8
133;0.7
134;0.6
135;0.8
136;0.9
137;0.8
138;0.8
139;0.8
140;0.8
141;0.8
142;0.9
143;0.8
144;0.8
145;0.7
146;0.8
147;0.8
148;0.6
149;0.7
150;0.8
151;0.9
152;0.8
153;0.8
154;0.8
155;0.8
156;0.7
157;0.7
158;0.7
159;0.8
160;0.6
161;0.8
162;0.6
163;0.7
164;0.8
165;0.7
166;0.7
167;0.8
168;0.7
169;0.8
170;0.8
171;0.6
172;0.6
173;0.7
174;0.8
175;0.8
176;0.6
177;0.8
178;0.8
179;0.8
180;0.8
181;0.8
182;1.0
183;0.8
184;0.8
185;0.8
186;0.8
187;0.6
188;0.6
189;0.8
190;0.8
191;0.7
192;0.8
193;0.6
194;0.8
195;0.8
196;0.7
197;0.7
198;0.8
199;0.8
200;0.8
201;0.8
202;0.7
203;0.7
204;0.9
205;0.8
206;0.7
207;0.7
208;0.8
209;0.8
210;0.6
211;0.8
212;0.8
213;0.8
214;0.8
215;0.9
216;0.9
217;0.6
218;0.7
219;0.8
220;0.8
221;0.8
222;0.7
223;0.7
224;0.8
225;0.8
226;0.9
227;0.8
228;0.7
229;0.5
230;0.8
231;0.8
232;0.6
233;1.0
234;0.9
235;0.8
236;0.8
237;0.8
238;0.7
239;0.7
240;0.8
241;0.8
242;0.6
243;0.7
244;0.8
245;0.8
246;0.8
247;0.7
248;0.7
249;0.9
250;0.8
251;0.8
252;0.8
253;0.6
254;0.7
255;0.5
256;0.7
257;1.0
258;0.6
259;0.9
260;0.7
261;0.8
262;0.8
263;0.9
264;0.9
265;0.8
266;0.4
267;0.7
268;0.6
269;0.6
270;0.7
271;0.8
272;0.8
273;0.7
274;0.8
275;0.7
276;0.8
277;0.8
278;0.6
279;0.7
280;0.8
281;0.7
282;0.6
283;0.7
284;0.9
285;0.6
286;0.8
287;0.9
288;0.8
289;0.8
290;0.7
291;0.8
292;0.9
293;0.7
294;0.8
295;0.7
296;0.8
297;0.8
298;0.8
299;0.8
300;0.8
301;0.8
302;0.6
303;0.9
304;0.5
305;0.8
306;0.7
307;0.8
308;0.8
309;0.8
310;0.8
311;0.9
312;0.8
313;0.8
314;0.9
315;0.8
316;0.8
317;0.8
318;0.8
319;0.8
320;0.7
321;0.5
322;0.6
323;0.7
324;0.6
325;0.7
326;0.8
327;0.8
328;0.9
329;0.7
330;0.7
331;0.8
332;0.9
333;0.9
334;0.5
335;0.6
336;0.7
337;0.8
338;0.8
339;0.6
340;0.8
341;0.8
342;0.7
343;0.8
344;0.7
345;0.6
346;0.8
347;0.8
348;0.6
349;0.9
350;0.6
351;0.8
352;0.8
353;0.8
354;0.6
355;0.6
356;0.8
357;0.4
358;0.8
359;0.8
360;0.6
361;0.8
362;0.5
363;0.6
364;0.8
365;0.7
366;0.8
367;0.8
368;0.7
369;0.8
370;0.7
371;0.7
372;0.8
373;0.8
374;0.7
375;0.8
376;0.8
377;0.8
378;0.8
379;0.7
380;0.8
381;0.9
382;0.9
383;0.8
384;0.6
385;0.8
386;0.8
387;0.6
388;0.6
389;0.9
390;0.8
391;0.7
392;0.9
393;0.8
394;0.8
395;0.8
396;0.8
397;0.8
398;0.8
399;0.8
400;0.6
401;0.6
402;0.8
403;0.8
404;0.6
405;0.6
406;0.7
407;0.9
408;0.7
409;0.7
410;0.7
411;0.9
412;0.8
413;0.8
414;0.8
415;0.9
416;0.9
417;0.8
418;0.8
419;0.8
420;0.6
421;0.7
422;0.8
423;0.8
424;0.7
425;0.6
426;0.7
427;0.8
428;0.8
429;0.7
430;0.8
431;0.7
432;0.9
433;0.8
434;0.7
435;0.8
436;0.5
437;0.6
438;0.8
439;0.8
440;0.7
441;0.7
442;0.8
443;0.8
444;0.8
445;0.8
446;0.7
447;0.5
448;0.9
449;0.8
450;0.7
451;0.7
452;0.8
453;0.6
454;0.7
455;0.8
456;0.9
457;1.0
458;0.8
459;0.7
460;0.6
461;0.7
462;0.9
463;0.8
464;0.8
465;0.9
466;0.7
467;0.5
468;0.8
469;0.8
470;0.9
471;0.8
472;0.8
473;0.6
474;0.6
475;0.9
476;0.8
477;0.8
478;0.8
479;0.7
480;0.6
481;0.6
482;0.8
483;0.8
484;0.6
485;0.5
486;0.8
487;0.7
488;0.9
489;0.6
490;0.6
491;0.8
492;0.9
493;0.7
494;0.8
495;0.6
496;0.8
497;0.8
498;0.8
499;0.9
500;0.7
