split;f1_score
1;0.8
2;0.8
3;0.8
4;0.9
5;0.8
6;0.8
7;0.8
8;0.8
9;0.8
10;0.8
11;0.8
12;0.8
13;0.9
14;0.8
15;0.8
16;0.8
17;0.8
18;0.8
19;0.9
20;0.8
21;0.9
22;0.7
23;0.9
24;0.8
25;0.8
26;0.7
27;0.9
28;0.9
29;0.8
30;0.7
31;0.8
32;0.8
33;0.9
34;0.6
35;0.7
36;0.8
37;0.8
38;0.8
39;0.9
40;0.8
41;0.8
42;0.8
43;0.8
44;0.7
45;0.8
46;0.8
47;0.8
48;0.9
49;0.8
50;0.8
51;0.7
52;0.8
53;0.9
54;0.8
55;0.8
56;0.5
57;0.9
58;0.6
59;0.8
60;0.7
61;0.9
62;0.5
63;0.8
64;0.9
65;0.5
66;0.8
67;0.6
68;0.8
69;0.8
70;0.8
71;0.8
72;0.8
73;0.8
74;0.8
75;0.7
76;0.7
77;0.8
78;0.7
79;0.8
80;0.8
81;0.5
82;0.7
83;0.8
84;0.7
85;0.7
86;0.6
87;0.7
88;0.8
89;0.8
90;0.8
91;0.8
92;0.8
93;0.8
94;0.8
95;0.8
96;0.8
97;0.8
98;0.9
99;0.8
100;0.9
101;1.0
102;0.6
103;0.6
104;0.8
105;0.6
106;0.8
107;0.6
108;0.7
109;0.8
110;0.7
111;1.0
112;0.6
113;0.8
114;0.9
115;0.6
116;0.8
117;0.9
118;0.8
119;0.9
120;0.8
121;0.6
122;0.9
123;0.9
124;0.6
125;0.9
126;0.8
127;0.9
128;0.6
129;0.8
130;0.8
131;0.8
132;0.8
133;0.8
134;0.8
135;0.7
136;0.8
137;0.7
138;0.8
139;0.8
140;0.8
141;0.8
142;0.7
143;0.8
144;0.8
145;0.8
146;0.8
147;0.8
148;0.8
149;0.8
150;0.8
151;0.8
152;0.9
153;0.8
154;0.7
155;0.7
156;0.8
157;0.7
158;0.9
159;0.6
160;0.8
161;0.7
162;0.8
163;0.9
164;0.7
165;0.7
166;0.6
167;0.6
168;0.8
169;0.7
170;0.9
171;0.7
172;0.8
173;0.8
174;0.8
175;0.8
176;0.6
177;0.9
178;0.8
179;0.8
180;0.8
181;0.6
182;0.9
183;0.8
184;0.8
185;0.7
186;0.8
187;0.6
188;0.6
189;0.8
190;0.9
191;0.7
192;0.9
193;0.9
194;0.8
195;0.8
196;0.8
197;0.9
198;0.8
199;0.9
200;0.7
201;0.8
202;0.7
203;0.8
204;0.8
205;0.7
206;0.7
207;0.8
208;0.8
209;0.8
210;0.7
211;0.8
212;0.6
213;0.8
214;0.7
215;0.8
216;0.9
217;0.9
218;0.7
219;0.9
220;0.8
221;0.8
222;0.8
223;0.7
224;0.7
225;0.9
226;0.7
227;0.8
228;0.8
229;0.8
230;0.8
231;0.7
232;0.6
233;0.9
234;0.8
235;0.8
236;0.8
237;1.0
238;0.8
239;0.8
240;0.6
241;0.8
242;0.9
243;0.8
244;0.8
245;0.7
246;0.8
247;0.6
248;0.8
249;0.7
250;0.7
251;0.8
252;0.9
253;0.8
254;0.7
255;0.8
256;0.9
257;0.7
258;0.8
259;0.8
260;0.8
261;0.7
262;0.9
263;0.8
264;0.9
265;0.8
266;0.8
267;0.8
268;0.7
269;0.8
270;0.8
271;0.8
272;0.8
273;0.9
274;0.6
275;0.9
276;0.8
277;0.6
278;0.6
279;0.8
280;0.9
281;0.8
282;0.8
283;0.6
284;0.8
285;0.8
286;1.0
287;0.9
288;0.9
289;0.8
290;0.8
291;0.9
292;0.8
293;0.8
294;0.7
295;0.9
296;0.8
297;0.8
298;0.6
299;0.6
300;0.7
301;0.8
302;0.8
303;1.0
304;0.8
305;0.7
306;0.7
307;0.8
308;0.8
309;0.9
310;0.7
311;0.8
312;0.8
313;0.7
314;0.7
315;0.9
316;0.9
317;0.8
318;0.8
319;0.7
320;0.8
321;0.8
322;0.8
323;0.8
324;0.8
325;0.9
326;0.6
327;0.8
328;0.7
329;0.8
330;0.8
331;0.6
332;0.6
333;0.8
334;0.8
335;0.8
336;0.7
337;0.9
338;0.7
339;0.8
340;0.8
341;0.6
342;0.8
343;0.9
344;0.8
345;0.8
346;0.8
347;0.7
348;0.7
349;0.8
350;0.7
351;1.0
352;0.6
353;0.8
354;0.8
355;0.9
356;0.8
357;0.9
358;0.8
