split;f1_score
1;0.8
2;0.7
3;0.8
4;0.8
5;0.7
6;0.8
7;0.7
8;0.7
9;0.7
10;0.8
11;0.9
12;0.6
13;0.6
14;0.7
15;0.8
16;0.9
17;0.8
18;0.6
19;0.8
20;0.8
21;0.6
22;0.7
23;0.7
24;0.8
25;0.8
26;0.8
27;0.9
28;0.8
29;0.7
30;0.6
31;0.5
32;0.8
33;0.7
34;0.8
35;0.8
36;0.8
37;0.8
38;1.0
39;0.8
40;0.8
41;0.7
42;0.5
43;0.8
44;0.7
45;0.8
46;0.8
47;0.8
48;0.6
49;0.8
50;0.8
51;0.8
52;0.8
53;0.9
54;0.8
55;0.8
56;0.8
57;0.6
58;0.8
59;0.7
60;0.9
61;0.8
62;0.8
63;0.8
64;0.7
65;0.9
66;0.6
67;0.8
68;0.8
69;0.8
70;0.9
71;0.8
72;0.6
73;0.8
74;1.0
75;0.9
76;0.7
77;0.8
78;0.8
79;0.8
80;0.7
81;0.5
82;0.7
83;0.9
84;0.8
85;0.9
86;0.8
87;0.7
88;0.8
89;0.8
90;0.7
91;0.8
92;0.8
93;0.8
94;0.9
95;0.9
96;0.8
97;0.8
98;0.5
99;0.5
100;0.8
101;0.8
102;0.6
103;0.9
104;0.6
105;0.8
106;0.8
107;0.9
108;0.8
109;0.8
110;0.7
111;0.8
112;0.8
113;0.6
114;0.7
115;0.8
116;0.6
117;0.7
118;0.7
119;0.8
120;0.8
121;0.6
122;0.8
123;0.8
124;0.9
125;0.7
126;0.4
127;0.9
128;0.6
129;0.8
130;0.8
131;0.7
132;0.7
133;0.8
134;0.9
135;0.8
136;0.6
137;0.7
138;0.8
139;0.8
140;0.8
141;0.6
142;0.9
143;0.8
144;1.0
145;0.7
146;0.8
147;0.9
148;0.8
149;0.8
150;0.8
151;1.0
152;0.8
153;0.8
154;0.8
155;0.9
156;0.9
157;0.7
158;0.8
159;0.8
160;0.8
161;0.8
162;0.8
163;0.8
164;0.8
165;0.7
166;0.7
167;0.8
168;0.6
169;0.7
170;0.7
171;0.8
172;0.8
173;0.9
174;0.8
175;0.8
176;0.8
177;0.6
178;0.9
179;0.7
180;0.8
181;0.7
182;0.8
183;0.8
184;0.8
185;0.8
186;0.6
187;0.5
188;0.7
189;0.8
190;0.8
191;0.8
192;0.7
193;0.6
194;0.6
195;0.8
196;0.8
197;0.8
198;0.8
