Run;f1_score;roc_auc;auprc
1;0,64516129;0,955932203;0,699826007
2;0,571428571;0,942372881;0,691584249
3;0,588235294;0,945762712;0,662142857
4;0,769230769;0,962711864;0,743148518
5;0,869565217;0,976271186;0,848034188
6;0,769230769;0,977966102;0,813643579
7;0,857142857;0,983050847;0,865588023
8;0,64516129;0,949152542;0,678585434
9;0,769230769;0,961016949;0,748148518
10;0,540540541;0,974576271;0,807762515
11;0,625;0,947457627;0,683636364
12;0,8;0,955932203;0,702390942
13;0,740740741;0,969491525;0,789945055
14;0,64516129;0,96779661;0,766532357
15;0,666666667;0,938983051;0,562564935
16;0,714285714;0,977966102;0,903174603
17;0,526315789;0,942372881;0,603800366
18;0,740740741;0,972881356;0,811129426
19;0,588235294;0,93220339;0,563289905
20;0,769230769;0,984745763;0,914026252
21;0,512820513;0,944067797;0,661373896
22;0,689655172;0,994915254;0,96979798
23;0,8;0,983050847;0,865588023
24;0,740740741;0,930508475;0,534549062
25;0,5;0,93559322;0,610845821
26;0,465116279;0,96440678;0,787012987
27;0,740740741;0,972881356;0,757762515
28;0,689655172;0,940677966;0,595025253
29;0,526315789;0,937288136;0,572445887
30;0,588235294;0,93559322;0,631254848
31;0,666666667;0,918644068;0,508518557
32;0,666666667;0,955932203;0,698492063
33;0,740740741;0,962711864;0,73986569
34;0,689655172;0,945762712;0,617564935
35;0,64516129;0,947457627;0,688800366
36;0,666666667;0,940677966;0,632445887
37;0,740740741;0,96779661;0,757190032
38;0,740740741;0,976271186;0,813531746
39;0,689655172;0,972881356;0,79737013
40;0,666666667;0,933898305;0,607619048
41;0,740740741;0,959322034;0,707489177
42;0,8;0,977966102;0,866095849
43;0,714285714;0,961016949;0,728492063
44;0,606060606;0,974576271;0,807762515
45;0,64516129;0,933898305;0,543825619
46;0,540540541;0,952542373;0,698928571
47;0,769230769;0,966101695;0,707190032
48;0,620689655;0,933898305;0,567564935
49;0,689655172;0,944067797;0,600898268
50;0,689655172;0,940677966;0,642967033
51;0,666666667;0,969491525;0,827063492
52;0,666666667;0,955932203;0,674057609
53;0,666666667;0,96779661;0,758968254
54;0,571428571;0,938983051;0,625012488
55;0,625;0,957627119;0,790898268
56;0,625;0,938983051;0,600189255
57;0,714285714;0,971186441;0,837777778
58;0,606060606;0,961016949;0,729815185
59;0,64516129;0,933898305;0,562014652
60;0,64516129;0,93220339;0,567677323
61;0,666666667;0,959322034;0,762608225
62;0,740740741;0,96779661;0,749462759
63;0,8;0,96779661;0,766317016
64;0,540540541;0,949152542;0,674231602
65;0,588235294;0,927118644;0,537122591
66;0,666666667;0,959322034;0,717087912
67;0,64516129;0,952542373;0,679512987
68;0,571428571;0,947457627;0,637142857
69;0,869565217;0,984745763;0,848012266
70;0,833333333;0,972881356;0,822484737
71;0,606060606;0,945762712;0,658636364
72;0,588235294;0,898305085;0,448268953
73;0,689655172;0,942372881;0,588800366
74;0,769230769;0,933898305;0,603782329
75;0,606060606;0,957627119;0,764157509
76;0,8;0,993220339;0,965151515
77;0,714285714;0,96440678;0,734412254
78;0,64516129;0,961016949;0,766774892
79;0,5;0,93220339;0,561254848
80;0,714285714;0,942372881;0,587564935
81;0,689655172;0,96779661;0,774100899
82;0,833333333;0,981355932;0,83225469
83;0,64516129;0,974576271;0,823034188
84;0,740740741;0,96779661;0,821481851
85;0,64516129;0,947457627;0,725012488
86;0,714285714;0,96440678;0,738199023
87;0,588235294;0,974576271;0,868675214
88;0,714285714;0,96440678;0,738199023
89;0,689655172;0,983050847;0,905137363
90;0,588235294;0,945762712;0,617564935
91;0,666666667;0,944067797;0,640898268
92;0,769230769;0,962711864;0,784057609
93;0,666666667;0,920338983;0,513156566
94;0,540540541;0,950847458;0,692564935
95;0,769230769;0,962711864;0,711676657
96;0,740740741;0,949152542;0,669350649
97;0,833333333;1;1
98;0,72;0,945762712;0,656255411
99;0,64516129;0,979661017;0,868470696
100;0,625;0,969491525;0,770523366
101;0,689655172;0,969491525;0,789166667
102;0,740740741;0,940677966;0,588825619
103;0,606060606;0,940677966;0,633984349
104;0,714285714;0,933898305;0,543001443
105;0,714285714;0,977966102;0,813643579
106;0,714285714;0,974576271;0,807762515
107;0,476190476;0,930508475;0,545495607
108;0,666666667;0,957627119;0,701719947
109;0,714285714;0,955932203;0,700386003
110;0,588235294;0,949152542;0,691984127
111;0,666666667;0,93559322;0,616560107
112;0,666666667;0,96440678;0,761457431
113;0,689655172;0,966101695;0,813730159
114;0,769230769;0,972881356;0,822484737
115;0,8;0,945762712;0,597271895
116;0,740740741;0,96440678;0,75505328
117;0,740740741;0,959322034;0,666770452
118;0,606060606;0,945762712;0,650898268
