Run;f1_score;roc_auc;auprc
1;0.7;0.9467;0.8355
2;0.9;0.9983;0.9909
3;0.8;0.9733;0.91
4;1;1;1
5;0.9;0.9867;0.9556
6;0.8;0.9817;0.8939
7;1;1;1
8;0.9;0.97;0.9357
9;0.9;0.995;0.9769
10;0.9;0.9783;0.9435
11;0.8;0.99;0.9415
12;0.9;0.9967;0.9809
13;0.9;0.9967;0.9833
14;0.8;0.9817;0.9306
15;0.9;0.9983;0.9909
16;0.9;0.965;0.9323
17;0.9;0.9967;0.9833
18;0.9;0.9967;0.9833
19;0.9;0.9867;0.9488
20;0.8;0.965;0.9
21;0.6;0.9533;0.7539
22;0.7;0.9633;0.8018
23;0.9;0.9783;0.9355
24;0.9;0.9883;0.9588
25;0.7;0.9383;0.7833
26;0.9;0.9917;0.9667
27;0.9;0.9967;0.9809
28;0.9;0.9983;0.9909
29;0.8;0.9683;0.902
30;0.9;0.9733;0.93
31;0.9;0.99;0.9567
32;0.9;0.9917;0.9667
33;0.9;0.9833;0.95
34;0.5;0.9267;0.6368
35;0.8;0.98;0.9233
36;0.9;0.9967;0.9833
37;0.8;0.935;0.8503
38;1;1;1
39;0.9;0.9983;0.9909
40;0.9;0.9883;0.9525
41;1;1;1
42;0.9;0.98;0.9289
43;0.6;0.8483;0.4733
44;0.7;0.9683;0.8427
45;0.9;0.9867;0.8988
46;0.9;0.99;0.9625
47;0.8;0.99;0.9519
48;0.9;0.995;0.9769
49;0.8;0.96;0.8952
50;0.9;0.9733;0.93
51;0.9;0.98;0.9376
52;0.8;0.985;0.9375
53;0.7;0.935;0.7535
54;0.9;0.9767;0.914
55;0.9;0.9833;0.9344
56;0.9;0.9883;0.9588
57;0.9;0.9967;0.9833
58;0.7;0.9517;0.8661
59;0.8;0.9883;0.9421
60;0.8;0.97;0.9109
61;0.9;0.9967;0.9833
62;1;1;1
63;0.8;0.9733;0.9119
64;0.9;0.9967;0.9809
65;0.8;0.9817;0.9198
66;0.9;0.9783;0.9265
67;0.9;0.9917;0.9667
68;0.9;0.965;0.9233
69;0.9;0.975;0.94
70;0.9;0.9783;0.9265
71;0.8;0.98;0.9231
72;0.9;0.9983;0.9909
73;0.6;0.9367;0.7159
74;0.9;0.9867;0.9556
75;0.8;0.9867;0.9417
76;0.9;0.9983;0.9909
77;0.9;0.995;0.9733
78;0.8;0.975;0.8739
79;0.8;0.955;0.8228
80;0.8;0.9567;0.8845
81;0.8;0.9833;0.9317
82;0.9;0.9783;0.9265
83;0.8;0.9733;0.9089
84;0.8;0.9217;0.8485
85;0.9;0.9633;0.9223
86;0.8;0.9817;0.9344
87;0.7;0.975;0.8952
88;0.8;0.99;0.9415
89;0.9;0.995;0.9698
90;0.8;0.99;0.9519
91;1;1;1
92;0.9;0.995;0.9769
93;0.8;0.97;0.9026
94;0.7;0.935;0.8466
95;0.9;0.99;0.9625
96;1;1;1
97;0.8;0.9683;0.8535
98;0.9;0.995;0.9769
99;0.9;0.9983;0.9909
100;0.9;0.9683;0.9345
101;0.9;0.9967;0.9809
102;1;1;1
103;0.9;0.9883;0.9588
104;0.9;0.995;0.9733
105;0.9;0.9983;0.9909
106;0.9;0.97;0.8609
107;0.8;0.9533;0.8933
108;0.9;0.9967;0.9833
109;0.8;0.975;0.8897
110;0.9;0.99;0.9625
111;0.9;0.9833;0.9146
112;1;1;1
113;0.9;0.995;0.9769
114;1;1;1
115;0.8;0.895;0.8473
116;0.9;0.9633;0.8878
117;0.8;0.96;0.8933
118;0.9;0.9917;0.9667
119;0.8;0.9567;0.8529
120;0.8;0.975;0.9205
121;0.8;0.9417;0.8831
122;1;1;1
123;0.9;0.9983;0.9909
124;0.9;0.9967;0.9833
125;0.9;0.9967;0.9833
126;0.9;0.9833;0.9426
127;0.8;0.9333;0.8644
128;1;1;1
129;0.8;0.9233;0.7602
130;0.8;0.9717;0.9218
131;0.9;0.9867;0.9488
132;0.7;0.95;0.8446
133;0.8;0.985;0.912
134;0.9;0.9767;0.9417
135;0.9;0.9983;0.9909
136;0.9;0.99;0.9625
137;0.8;0.9667;0.8984
138;0.9;0.9867;0.9488
139;0.8;0.9917;0.9587
140;0.8;0.9617;0.8168
141;0.7;0.9367;0.7372
142;0.9;0.99;0.9625
143;0.8;0.98;0.8861
144;0.8;0.9667;0.8976
145;0.8;0.9417;0.853
146;0.8;0.9633;0.8926
147;0.9;0.9983;0.9909
148;0.9;0.9817;0.9476
149;0.9;0.9983;0.9909
150;0.8;0.96;0.889
151;0.9;0.9833;0.95
152;0.9;0.9933;0.9714
153;1;1;1
154;0.8;0.9883;0.9421
155;0.9;0.9683;0.9345
156;0.9;0.9783;0.9435
157;0.8;0.9717;0.9124
158;0.8;0.97;0.9203
159;1;1;1
160;0.9;0.9967;0.9833
161;0.9;0.9933;0.9669
162;0.9;0.9983;0.9909
163;0.9;0.9883;0.9588
164;0.9;0.9983;0.9909
165;0.9;0.9967;0.9833
166;0.9;0.9983;0.9909
167;0.9;0.9883;0.9525
168;0.9;0.995;0.9733
169;0.9;0.9733;0.9385
170;0.9;0.9767;0.9243
171;0.9;0.9733;0.9385
172;0.6;0.9683;0.8293
173;0.9;0.9833;0.9426
174;0.9;0.98;0.9455
175;0.8;0.9867;0.9208
176;0.6;0.9183;0.5339
177;1;1;1
