scaler,k,f1_mean
robust,5,0.71
standard,5,0.76
minmax,5,0.755
robust,7,0.6849999999999999
standard,7,0.72
minmax,7,0.7650000000000001
robust,9,0.7449999999999999
standard,9,0.7299999999999999
minmax,9,0.73
robust,10,0.6399999999999999
standard,10,0.7149999999999999
minmax,10,0.7850000000000001
robust,11,0.665
standard,11,0.72
minmax,11,0.7650000000000001
robust,13,0.625
standard,13,0.725
minmax,13,0.7750000000000001
robust,15,0.6299999999999999
standard,15,0.725
minmax,15,0.77
robust,17,0.6399999999999999
standard,17,0.725
minmax,17,0.75
robust,19,0.6299999999999999
standard,19,0.7199999999999999
minmax,19,0.7600000000000001
robust,20,0.64
standard,20,0.7150000000000001
minmax,20,0.7149999999999999
