n_neighbors,method,f1_mean,auc_mean,auprc_mean
3,largest,0.6,0.9276271186440679,0.600438741529854
3,mean,0.61,0.9294915254237288,0.624209041425339
3,median,0.5799999999999998,0.9010169491525424,0.5691163208736759
5,largest,0.63,0.9311864406779662,0.5776322176705303
5,mean,0.62,0.9318644067796612,0.6216981577504024
5,median,0.6099999999999999,0.9379661016949152,0.6605312324433168
10,largest,0.6399999999999999,0.9328813559322034,0.5806866520786463
10,mean,0.62,0.9227118644067798,0.5779263627931106
10,median,0.61,0.9244067796610171,0.5651279022405183
20,largest,0.5599999999999999,0.8988135593220339,0.5391825889146953
20,mean,0.53,0.9083050847457628,0.516278093053803
20,median,0.58,0.9130508474576272,0.575566218176563
