split;f1_score
1;0.7
2;0.7
3;0.8
4;0.7
5;0.8
6;0.8
7;0.8
8;0.7
9;0.8
10;0.8
11;0.8
12;0.6
13;0.8
14;0.5
15;0.8
16;0.7
17;0.7
18;0.7
19;0.7
20;0.8
21;0.9
22;0.8
23;0.8
24;0.7
25;0.7
26;0.8
27;0.8
28;0.8
29;0.8
30;0.7
31;0.6
32;0.8
33;0.8
34;0.7
35;0.7
36;0.8
37;0.8
38;0.7
39;0.6
40;0.8
41;0.7
42;0.7
43;0.6
44;0.7
45;0.7
46;0.8
47;0.7
48;0.7
49;0.8
50;0.8
51;0.8
52;0.8
53;0.6
54;0.7
55;0.7
56;0.8
57;0.8
58;0.7
59;0.6
60;0.8
61;0.7
62;0.8
63;0.7
64;0.7
65;0.8
66;0.8
67;0.9
68;0.8
69;0.8
70;0.8
71;0.7
72;0.8
73;0.7
74;0.8
75;0.9
76;0.7
77;0.8
78;0.8
79;0.8
80;0.7
81;0.8
82;0.6
83;0.8
84;0.7
85;0.7
86;0.8
87;0.8
88;0.8
89;0.8
90;0.7
91;0.8
92;0.7
93;0.8
94;0.7
95;0.6
96;0.6
97;0.7
98;0.6
99;0.8
100;0.7
101;0.8
102;0.7
103;0.8
104;0.7
105;0.8
106;0.9
107;0.6
108;0.8
109;0.7
110;0.8
111;0.8
112;0.8
113;0.8
114;0.8
115;0.8
116;0.8
117;0.8
118;0.7
119;0.8
120;0.8
121;0.7
122;0.8
123;0.7
124;0.8
125;0.7
126;0.7
127;0.7
128;0.8
129;0.7
130;0.8
131;0.7
132;0.8
133;0.8
134;0.8
135;0.8
136;0.9
137;0.7
138;0.8
139;0.7
140;0.8
141;0.8
142;0.6
143;0.8
144;0.8
145;0.7
146;0.8
147;0.8
148;1.0
149;0.8
150;0.8
151;0.7
152;0.8
153;0.8
154;0.7
155;0.8
156;0.8
157;0.6
158;0.8
159;0.7
160;0.8
161;0.8
162;0.7
163;0.8
164;0.7
165;0.8
166;0.9
167;0.7
168;0.7
169;0.8
170;0.8
171;0.8
172;0.7
173;0.7
174;0.7
175;0.8
176;0.6
177;0.8
178;0.8
179;0.6
180;0.7
181;0.8
182;0.6
183;0.8
184;0.7
185;0.8
186;0.8
187;0.8
188;0.8
189;0.7
190;0.5
191;0.8
192;0.8
193;0.7
194;0.7
195;0.7
196;0.6
197;0.8
198;0.7
199;0.5
200;0.8
201;0.8
202;0.6
203;0.6
204;0.7
205;0.8
206;0.8
207;0.8
208;0.7
209;0.7
210;0.7
211;0.7
212;0.8
213;0.8
214;0.8
215;0.7
216;0.7
217;0.8
218;0.8
219;0.6
220;0.8
221;0.7
222;0.9
223;0.8
224;0.8
225;0.7
226;0.7
227;0.8
