Timestamp,Run,F1_Macro,F1_Binary,AUC,AUPRC
2026-05-03 06:39:48,1,0.8833,0.8000,0.9767,0.9151
2026-05-03 06:40:09,2,0.8833,0.8000,0.9500,0.8929
2026-05-03 06:40:28,3,0.9417,0.9000,0.9850,0.9526
2026-05-03 06:40:45,4,1.0000,1.0000,1.0000,1.0000
2026-05-03 06:41:04,5,1.0000,1.0000,1.0000,1.0000
2026-05-03 06:41:19,6,0.8833,0.8000,0.9683,0.8928
2026-05-03 06:41:38,7,0.9417,0.9000,0.9833,0.9426
2026-05-03 06:41:54,8,0.9417,0.9000,0.9533,0.9170
2026-05-03 06:42:08,9,0.9417,0.9000,0.9667,0.9146
2026-05-03 06:42:22,10,0.8833,0.8000,0.9867,0.9407
2026-05-03 06:42:40,11,0.8833,0.8000,0.9583,0.9015
2026-05-03 06:43:01,12,0.9417,0.9000,0.9833,0.9500
2026-05-03 06:43:17,13,0.8833,0.8000,0.9833,0.9374
2026-05-03 06:43:33,14,1.0000,1.0000,1.0000,1.0000
2026-05-03 06:43:54,15,0.8833,0.8000,0.9800,0.9318
2026-05-03 06:44:17,16,0.8250,0.7000,0.9517,0.7429
2026-05-03 06:44:42,17,0.9417,0.9000,0.9967,0.9833
2026-05-03 06:45:03,18,0.8833,0.8000,0.9800,0.8685
2026-05-03 06:45:19,19,0.9417,0.9000,0.9900,0.9625
2026-05-03 06:45:36,20,0.8833,0.8000,0.9833,0.9310
2026-05-03 06:45:52,21,0.9417,0.9000,0.9850,0.9526
2026-05-03 06:46:08,22,0.8250,0.7000,0.9717,0.8846
2026-05-03 06:46:25,23,0.8833,0.8000,0.9633,0.9049
2026-05-03 06:46:49,24,0.8833,0.8000,0.9700,0.9026
2026-05-03 06:47:09,25,1.0000,1.0000,1.0000,1.0000
2026-05-03 06:47:23,26,0.9417,0.9000,0.9983,0.9909
2026-05-03 06:47:45,27,0.9417,0.9000,0.9900,0.9625
2026-05-03 06:48:03,28,0.8833,0.8000,0.9467,0.8745
2026-05-03 06:48:21,29,0.9417,0.9000,0.9967,0.9833
2026-05-03 06:48:39,30,0.8833,0.8000,0.9783,0.9219
2026-05-03 06:49:01,31,0.9417,0.9000,0.9983,0.9909
2026-05-03 06:49:14,32,1.0000,1.0000,1.0000,1.0000
2026-05-03 06:49:30,33,0.8833,0.8000,0.9667,0.9120
2026-05-03 06:49:51,34,0.8833,0.8000,0.9733,0.8322
2026-05-03 06:50:10,35,0.8250,0.7000,0.9600,0.8404
2026-05-03 06:50:25,36,0.9417,0.9000,0.9817,0.9476
